2026-06-18 12:12:25.685 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:12:46.910 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:13:17.697 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:17:27.175 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:17:52.137 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:18:20.175 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:18:48.732 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:19:22.424 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:19:47.393 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:20:10.074 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:15:12.569 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:15:42.851 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:16:05.222 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:16:41.932 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:17:14.187 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:17:52.764 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:24:49.362 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:25:26.000 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:25:57.823 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:26:25.863 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:26:55.342 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 13:27:33.431 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 14:09:47.483 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 14:10:25.828 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 14:11:04.924 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
